user,tag,weakness
Mestu,*special,0.7251166362116558
Mestu,binary search,0.16356202906779582
Mestu,bitmasks,0.11835614893148265
Mestu,brute force,0.12404009037146467
Mestu,combinatorics,0.10411095039469849
Mestu,constructive algorithms,0.10968662581384858
Mestu,data structures,0.17730177190511526
Mestu,dfs and similar,0.16587908176466565
Mestu,divide and conquer,0.3379165143916125
Mestu,dp,0.222997364707082
Mestu,dsu,0.10634213576743025
Mestu,flows,1.2667055454038851
Mestu,games,0.3258629181736011
Mestu,geometry,0.0012829983282142995
Mestu,graph matchings,0.00011663621165584542
Mestu,graphs,0.3141049363036688
Mestu,greedy,0.16820274198310298
Mestu,hashing,0.25243503291013103
Mestu,implementation,0.09251167317126854
Mestu,interactive,0.0001943936860930757
Mestu,math,0.10753139947924453
Mestu,matrices,0.00015551494887446055
Mestu,number theory,0.05494820461564749
Mestu,probabilities,0.00011663621165584542
Mestu,shortest paths,0.7895887061588239
Mestu,sortings,0.154482549664813
Mestu,string suffix structures,3.887873721861514e-05
Mestu,strings,0.03890943122759092
Mestu,trees,0.1561908570434122
Mestu,two pointers,0.055386672183744594
RakibJoy,2-sat,7.775747443723027e-05
RakibJoy,binary search,0.0939131757000533
RakibJoy,bitmasks,0.05770078189901205
RakibJoy,brute force,0.0412511556231396
RakibJoy,combinatorics,0.0817563446204088
RakibJoy,constructive algorithms,0.12872750793054247
RakibJoy,data structures,0.10196099138138001
RakibJoy,dfs and similar,0.06739939089978364
RakibJoy,divide and conquer,0.3324996954498917
RakibJoy,dp,0.05244498658683567
RakibJoy,dsu,0.1368940586809741
RakibJoy,expression parsing,0.0006220597954978422
RakibJoy,fft,0.0004665448466233817
RakibJoy,flows,7.775747443723027e-05
RakibJoy,games,0.08176079640933266
RakibJoy,geometry,0.09960303369346561
RakibJoy,graph matchings,7.775747443723027e-05
RakibJoy,graphs,0.10575426319528142
RakibJoy,greedy,0.07381591902855
RakibJoy,hashing,0.0004665448466233817
RakibJoy,implementation,0.06985430971047046
RakibJoy,interactive,0.10933252119971142
RakibJoy,math,0.09997779336052218
RakibJoy,matrices,7.775747443723027e-05
RakibJoy,number theory,0.22193441818234239
RakibJoy,probabilities,0.0012441195909956844
RakibJoy,schedules,0.0004665448466233817
RakibJoy,shortest paths,0.0006220597954978422
RakibJoy,sortings,0.035111480862940456
RakibJoy,string suffix structures,0.0001943936860930757
RakibJoy,strings,0.0023716029703355233
RakibJoy,ternary search,0.0012052408537770692
RakibJoy,trees,0.14153532943250008
RakibJoy,two pointers,0.10028395503104286
Robin008,2-sat,0.000272151160530306
Robin008,binary search,0.16303735092076702
Robin008,bitmasks,0.11748491109008785
Robin008,brute force,0.09215263617675995
Robin008,chinese remainder theorem,0.00023327242331169085
Robin008,combinatorics,0.0013218770654329147
Robin008,constructive algorithms,0.11560537287262612
Robin008,data structures,0.0572863786955628
Robin008,dfs and similar,0.2508236172489117
Robin008,divide and conquer,7.775747443723027e-05
Robin008,dp,0.17208685289316994
Robin008,dsu,0.3007775747443722
Robin008,expression parsing,0.000272151160530306
Robin008,fft,0.00023327242331169085
Robin008,flows,0.0003110298977489211
Robin008,games,0.0003110298977489211
Robin008,geometry,0.0003887873721861514
Robin008,graph matchings,7.775747443723027e-05
